"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;;;;;;
"1775170800007426443,""Tue Apr 02 17:23:17 +0000 2024"",""1"",""@Okuhle_ShirleyM @_This_Is_Bee Lewis Hamilton"",""1775212419582771582"","""",""Okuhle_ShirleyM"",""in"",""Ethembeni"",""0"",""2"",""0"",""https://twitter.com/uAunty_/status/1775212419582771582"",""1689133944"",""uAunty_""";;;;;;;;;;;
"1775207382865297855,""Tue Apr 02 17:03:16 +0000 2024"",""2"",""LEWIS HAMILTON"",""1775207382865297855"","""","""",""in"",""44,16,81,4,23,63,47"",""0"",""0"",""0"",""https://twitter.com/F1Fan441681/status/1775207382865297855"",""1410413839334752260"",""F1Fan441681""";;;;;;;;;;;
"1775201115442721225,""Tue Apr 02 16:47:04 +0000 2024"",""0"",""@abel_ism Lewis Hamilton "",""1775203307704697123"","""",""abel_ism"",""in"",""Onde Só Deus Sabe ."",""0"",""1"",""0"",""https://twitter.com/feibiou/status/1775203307704697123"",""1388199241953206282"",""feibiou""";;;;;;;;;;;
"1775200508417880372,""Tue Apr 02 16:43:50 +0000 2024"",""1"",""@kazrrari warra lewis hamilton rep by kazrrari in 2021"",""1775202490495168894"","""",""kazrrari"",""in"",""³³ ⁸¹ ¹⁴"",""0"",""1"",""0"",""https://twitter.com/harshsarchive/status/1775202490495168894"",""1685564525180035072"",""harshsarchive""";;;;;;;;;;;
"1775186947130159124,""Tue Apr 02 16:12:24 +0000 2024"",""0"",""@f1speed_indo tapi Leclerc emang ganteng sih"",""1775194582881575204"","""",""f1speed_indo"",""in"",""Suplex City"",""0"",""0"",""0"",""https://twitter.com/ekafrasOFFICIAL/status/1775194582881575204"",""225654977"",""ekafrasOFFICIAL""";;;;;;;;;;;
"1775181499043860615,""Tue Apr 02 15:28:20 +0000 2024"",""0"",""Dan fakta lainnya ex-teammates Jenson tuh gak kaleng²... antara lain: Ralf Schumacher Rubens Barichello Lewis Hamilton dan Fernando Alonso :) Gila? Menurut gue sih gila."",""1775183490155450445"","""",""oscarloscarr"",""in"",""rear wing"",""0"",""0"",""0"",""https://twitter.com/oscarloscarr/status/1775183490155450445"",""1695496110918500352"",""oscarloscarr""";;;;;;;;;;;
"1775175168144683296,""Tue Apr 02 14:55:15 +0000 2024"",""12"",""Lewis Hamilton ️ #fortnite #FortniteArt #FortniteMythsandMortals https://t.co/ra4d4JCbkX"",""1775175168144683296"",""https://pbs.twimg.com/media/GKKwaDAagAASAZs.jpg"","""",""in"",""SAC: darkfrost #ad"",""0"",""0"",""1"",""https://twitter.com/FrostFN97/status/1775175168144683296"",""1534737914915078144"",""FrostFN97""";;;;;;;;;;;
"1774801904197059001,""Tue Apr 02 14:26:33 +0000 2024"",""0"",""@akuntomo @bebebnya_Roseee @rayandprat @LambeResing bener bro gua setuju keputusan kontroversial itu bukan salah Redbull dan Max tapi jelas itu menguntungkan mereka dan merugikan Mercedes dan Lewis."",""1775167944181625082"","""",""akuntomo"",""in"",""Suplex City"",""0"",""0"",""0"",""https://twitter.com/ekafrasOFFICIAL/status/1775167944181625082"",""225654977"",""ekafrasOFFICIAL""";;;;;;;;;;;
"1775164949393719348,""Tue Apr 02 14:14:39 +0000 2024"",""0"",""lewis hamilton"",""1775164949393719348"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/SGxd_/status/1775164949393719348"",""1437618597015212033"",""SGxd_""";;;;;;;;;;;
"1775160820973875408,""Tue Apr 02 13:59:28 +0000 2024"",""0"",""lewis hamilton https://t.co/mnamg6xxBk"",""1775161128118587502"",""https://pbs.twimg.com/media/GKKjon0WwAAYhiI.jpg"",""wjnchesterswift"",""in"",""she"",""5"",""1"",""0"",""https://twitter.com/wjnchesterswift/status/1775161128118587502"",""1490769809113559040"",""wjnchesterswift""";;;;;;;;;;;
"1775157228271484993,""Tue Apr 02 13:43:58 +0000 2024"",""0"",""Lewis Hamilton"",""1775157228271484993"","""","""",""in"",""027"",""0"",""0"",""0"",""https://twitter.com/jhowmarcus/status/1775157228271484993"",""194182631"",""jhowmarcus""";;;;;;;;;;;
"1775118020471640471,""Tue Apr 02 13:15:17 +0000 2024"",""0"",""@bellevienay jd aku ada naksir salah satu tiktokers trs isi repost an nya itu ada lewis hamilton trs jadi suka jd ngikutin deehh tapi pas udah tau efwan malah jadi tifosiiieee"",""1775150010797314154"","""",""bellevienay"",""in"",""forza ferrari"",""0"",""1"",""0"",""https://twitter.com/bouquetfalls/status/1775150010797314154"",""1766058645979316224"",""bouquetfalls""";;;;;;;;;;;
"1775149724863226259,""Tue Apr 02 13:14:09 +0000 2024"",""0"",""Lewis Hamilton Bersiap Jadi Bintang Film jika Pensiun dari Formula 1 https://t.co/Hn3KYjBfRs https://t.co/deMP8KRD1L"",""1775149724863226259"",""https://pbs.twimg.com/media/GKKZRGgbUAAxtwb.jpg"","""",""in"",""Solo, Central Java, Indonesia"",""0"",""0"",""0"",""https://twitter.com/soloposdotcom/status/1775149724863226259"",""155169715"",""soloposdotcom""";;;;;;;;;;;
"1775142740759581103,""Tue Apr 02 12:46:24 +0000 2024"",""1"",""lewis hamilton white cap era https://t.co/klC5YGehvw"",""1775142740759581103"",""https://pbs.twimg.com/ext_tw_video_thumb/1775142692307062784/pu/img/F_fxycStZhR0QTyh.jpg"","""",""in"",""19 ★  they/she 1644"",""0"",""0"",""0"",""https://twitter.com/mozzarelline/status/1775142740759581103"",""1257076358381010951"",""mozzarelline""";;;;;;;;;;;
"1774927895372128666,""Tue Apr 02 12:38:33 +0000 2024"",""0"",""@LaGocapable Lewis Hamilton"",""1775140766257496315"","""",""LaGocapable"",""in"","""",""0"",""1"",""0"",""https://twitter.com/Dindacture/status/1775140766257496315"",""1680595715699929088"",""Dindacture""";;;;;;;;;;;
"1775133073304142048,""Tue Apr 02 12:10:30 +0000 2024"",""2"",""@MercedesAMGF1 @LEGO_Group @LewisHamilton Sakura "",""1775133704278442263"","""",""MercedesAMGF1"",""in"","""",""0"",""0"",""0"",""https://twitter.com/jakobsmusc/status/1775133704278442263"",""3028537173"",""jakobsmusc""";;;;;;;;;;;
"1775120445403979905,""Tue Apr 02 11:17:48 +0000 2024"",""145"","" Lewis Hamilton AOP Cap Neon Yellow 1 650.00TL https://t.co/afBDMGjEmT"",""1775120445403979905"",""https://pbs.twimg.com/media/GKJ-hOOWEAA1nEr.jpg"","""",""in"",""Turkey"",""2"",""4"",""0"",""https://twitter.com/motorsportcomtr/status/1775120445403979905"",""16310319"",""motorsportcomtr""";;;;;;;;;;;
"1775118275263000736,""Tue Apr 02 11:09:11 +0000 2024"",""3"",""Lewis Hamilton Lewis Hamilto Lewis Hamilt Lewis Hamil Lewis Hami Lewis Ham Lewis Ha Lewis H Lewis Lewi Lew Le L La Lan Land Landa Landan Landanl Landanlo Landanlov Landanlove Landanlover"",""1775118275263000736"","""","""",""in"",""MV1 OP81 GR63 SP11 AA23 YT22 "",""0"",""1"",""0"",""https://twitter.com/verstappiastri1/status/1775118275263000736"",""1660956344978128904"",""verstappiastri1""";;;;;;;;;;;
"1775115918403666199,""Tue Apr 02 10:59:49 +0000 2024"",""20"",""Lewis Hamilton Lewis Hamilto Lewis Hamilt Lewis Hamil Lewis Hami Lewis Ham Lewis Ha Lewis H Lewis Lewi Lew Le L La Lan Land Lando Lando N Lando No Lando Nor Lando Norr Lando Norri Lando Norris"",""1775115918403666199"","""","""",""in"",""🐈meorge🐈‍⬛ mania"",""1"",""0"",""2"",""https://twitter.com/meorgeous/status/1775115918403666199"",""1696950610761793536"",""meorgeous""";;;;;;;;;;;
"1775108774392701314,""Tue Apr 02 10:31:26 +0000 2024"",""0"",""siapa setuju satu rt satu george RUSSELL &amp";" lewis hamilton ️️️️️ https://t.co/AxiIJNCJao"",""1775108774392701314"",""https://pbs.twimg.com/media/GKJ0BcXbsAAiaC1.jpg"","""",""in"",""gr63, km9, lc26, js5, jm42."",""0"",""0"",""0"",""https://twitter.com/lovecolwill/status/1775108774392701314"",""1318841968345018369"",""lovecolwill""";;;;;;;;;;
"1774814494050443721,""Tue Apr 02 10:30:38 +0000 2024"",""0"",""@LewisHamilton @GQMagazine Hilewis"",""1775108572613132736"","""",""LewisHamilton"",""in"","""",""0"",""0"",""0"",""https://twitter.com/BU9fwZU7c720231/status/1775108572613132736"",""1743486897861939200"",""BU9fwZU7c720231""";;;;;;;;;;;
"1775106715949912394,""Tue Apr 02 10:23:15 +0000 2024"",""0"",""kalo ak punya 271T lewis hamilton ku jdiin supir pribadi"",""1775106715949912394"","""","""",""in"",""she/her"",""0"",""0"",""0"",""https://twitter.com/ketemqelan/status/1775106715949912394"",""1364810638342594561"",""ketemqelan""";;;;;;;;;;;
"1775096734831575516,""Tue Apr 02 09:58:10 +0000 2024"",""0"",""@lannisomething Ndakbetha Lewis Hamilton"",""1775100401630462463"","""",""lannisomething"",""in"",""Cape Town, South Africa"",""1"",""1"",""0"",""https://twitter.com/justvuyi_/status/1775100401630462463"",""1252269565746262017"",""justvuyi_""";;;;;;;;;;;
"1775082947697082510,""Tue Apr 02 08:48:48 +0000 2024"",""4"",""Lewis Hamilton in Maitama https://t.co/OiHTQy4HNf"",""1775082947697082510"",""https://pbs.twimg.com/tweet_video_thumb/GKJch4TXMAAhh7x.jpg"","""",""in"","""",""1"",""3"",""3"",""https://twitter.com/__Laolu/status/1775082947697082510"",""341641075"",""__Laolu""";;;;;;;;;;;
